         266   -7.5561998     0.993377            0            0        7.469 
         268   -7.5554689     1.000846            0            0        7.469 
         270   -7.5547321     1.008315            0            0        7.469 
         272   -7.5539872     1.015784            0            0        7.469 
         274   -7.5532411     1.023253            0            0        7.469 
         276   -7.5524865     1.030722            0            0        7.469 
         278   -7.5517321     1.038191            0            0        7.469 
         280   -7.5509889      1.04566            0            0        7.469 
         282    -7.575469     1.053129            0            0        7.469 
         284   -7.5751101     1.060598            0            0        7.469 
         286   -7.5747363     1.068067            0            0        7.469 
         288   -7.5743472     1.075536            0            0        7.469 
         290   -7.5739429     1.083005            0            0        7.469 
         292   -7.5735234     1.090474            0            0        7.469 
         294    -7.573087     1.097943            0            0        7.469 
         296   -7.5726356     1.105412            0            0        7.469 
         298   -7.5721685     1.112881            0            0        7.469 
         300   -7.5716852      1.12035            0            0        7.469 
         302   -7.5721691     1.112881            0            0        7.469 
         304    -7.572637     1.105412            0            0        7.469 
         306   -7.5730888     1.097943            0            0        7.469 
         308   -7.5735247     1.090474            0            0        7.469 
         310   -7.5739442     1.083005            0            0        7.469 
         312   -7.5743491     1.075536            0            0        7.469 
         314    -7.574738     1.068067            0            0        7.469 
         316   -7.5751106     1.060598            0            0        7.469 
         318   -7.5754712     1.053129            0            0        7.469 
         320    -7.575814      1.04566            0            0        7.469 
         322   -7.5761414     1.038191            0            0        7.469 
         324   -7.5764556     1.030722            0            0        7.469 
         326   -7.5767524     1.023253            0            0        7.469 
         328   -7.5770354     1.015784            0            0        7.469 
         330   -7.5773017     1.008315            0            0        7.469 
         332   -7.5775539     1.000846            0            0        7.469 
         334   -7.5777884     0.993377            0            0        7.469 
         336   -7.5780076     0.985908            0            0        7.469 
         338   -7.5782135     0.978439            0            0        7.469 
         340   -7.5784031      0.97097            0            0        7.469 
         342   -7.5785786     0.963501            0            0        7.469 
         344   -7.5787397     0.956032            0            0        7.469 
         346    -7.578887     0.948563            0            0        7.469 
         348   -7.5790165     0.941094            0            0        7.469 
         350   -7.5791335     0.933625            0            0        7.469 
         352   -7.5792369     0.926156            0            0        7.469 
         354   -7.5793256     0.918687            0            0        7.469 
         356   -7.5793995     0.911218            0            0        7.469 
         358   -7.5794649     0.903749            0            0        7.469 
         360   -7.5795139      0.89628            0            0        7.469 
         362   -7.5795493     0.888811            0            0        7.469 
         364   -7.5795762     0.881342            0            0        7.469 
         366   -7.5795879     0.873873            0            0        7.469 
         368   -7.5795845     0.866404            0            0        7.469 
         370    -7.579579     0.858935            0            0        7.469 
         372   -7.5795622     0.851466            0            0        7.469 
         374   -7.5795338     0.843997            0            0        7.469 
         376   -7.5794972     0.836528            0            0        7.469 
         378   -7.5794424     0.829059            0            0        7.469 
         380   -7.5793878      0.82159            0            0        7.469 
         382     -7.57932     0.814121            0            0        7.469 
         384   -7.5792433     0.806652            0            0        7.469 
         386   -7.5791569     0.799183            0            0        7.469 
         388   -7.5790632     0.791714            0            0        7.469 
         390   -7.5789695     0.784245            0            0        7.469 
         392   -7.5849195     0.776776            0            0        7.469 
         394   -7.5849165     0.769307            0            0        7.469 
         396   -7.5848954     0.761838            0            0        7.469 
         398   -7.5848587     0.754369            0            0        7.469 
         400    -7.584804       0.7469            0            0        7.469 
         402   -7.5847315     0.739431            0            0        7.469 
         404   -7.5846427     0.731962            0            0        7.469 
         406   -7.5845371     0.724493            0            0        7.469 
         408   -7.5844135     0.717024            0            0        7.469 
         410   -7.5842767     0.709555            0            0        7.469 
         412   -7.5841221     0.702086            0            0        7.469 
         414   -7.5839544     0.694617            0            0        7.469 
         416   -7.5837728     0.687148            0            0        7.469 
         418    -7.583574     0.679679            0            0        7.469 
         420   -7.5834799      0.67221            0            0        7.469 
         422   -7.5832917     0.664741            0            0        7.469 
         424   -7.5836946     0.657272            0            0        7.469 
         426   -7.5836001     0.649803            0            0        7.469 
         428   -7.5834942     0.642334            0            0        7.469 
         430   -7.5833804     0.634865            0            0        7.469 
         432   -7.5832502     0.627396            0            0        7.469 
         434    -7.583121     0.619927            0            0        7.469 
         436   -7.5829724     0.612458            0            0        7.469 
         438   -7.5828092     0.604989            0            0        7.469 
         440    -7.582634      0.59752            0            0        7.469 
         442   -7.5824429     0.590051            0            0        7.469 
         444   -7.5822411     0.582582            0            0        7.469 
         446   -7.5820243     0.575113            0            0        7.469 
         448   -7.5817912     0.567644            0            0        7.469 
         450   -7.5815433     0.560175            0            0        7.469 
         452   -7.5812795     0.552706            0            0        7.469 
         454   -7.5810029     0.545237            0            0        7.469 
         456   -7.5807118     0.537768            0            0        7.469 
         458   -7.5804033     0.530299            0            0        7.469 
         460   -7.5800845      0.52283            0            0        7.469 
         462   -7.5797474     0.515361            0            0        7.469 
         464   -7.5793986     0.507892            0            0        7.469 
         466   -7.5790329     0.500423            0            0        7.469 
         468   -7.5786526     0.492954            0            0        7.469 
         470   -7.5782605     0.485485            0            0        7.469 
         472   -7.5778515     0.478016            0            0        7.469 
         474   -7.5774271     0.470547            0            0        7.469 
         476   -7.5769901     0.463078            0            0        7.469 
         478   -7.5765442     0.455609            0            0        7.469 
         480    -7.576084      0.44814            0            0        7.469 
         482   -7.5756304     0.440671            0            0        7.469 
         484   -7.5751509     0.433202            0            0        7.469 
         486   -7.5746581     0.425733            0            0        7.469 
         488   -7.5741491     0.418264            0            0        7.469 
         490   -7.5736222     0.410795            0            0        7.469 
         492   -7.5730814     0.403326            0            0        7.469 
         494   -7.5725223     0.395857            0            0        7.469 
         496   -7.5719482     0.388388            0            0        7.469 
         498   -7.5714415     0.380919            0            0        7.469 
         500   -7.5708459      0.37345            0            0        7.469 
         502   -7.5702327     0.365981            0            0        7.469 
         504   -7.5696035     0.358512            0            0        7.469 
         506   -7.5689566     0.351043            0            0        7.469 
         508    -7.568293     0.343574            0            0        7.469 
         510   -7.5676133     0.336105            0            0        7.469 
         512   -7.5669179     0.328636            0            0        7.469 
         514   -7.5662056     0.321167            0            0        7.469 
         516    -7.565479     0.313698            0            0        7.469 
         518   -7.5647375     0.306229            0            0        7.469 
         520   -7.5639813      0.29876            0            0        7.469 
         522   -7.5632086     0.291291            0            0        7.469 
         524   -7.5624252     0.283822            0            0        7.469 
         526   -7.5616372     0.276353            0            0        7.469 
         528   -7.5608291     0.268884            0            0        7.469 
         530   -7.5600132     0.261415            0            0        7.469 
         532   -7.5591763     0.253946            0            0        7.469 
         534   -7.5583251     0.246477            0            0        7.469 
         536   -7.5574594     0.239008            0            0        7.469 
         538   -7.5565805     0.231539            0            0        7.469 
         540   -7.5556873      0.22407            0            0        7.469 
         542   -7.5547876     0.216601            0            0        7.469 
         544   -7.5538716     0.209132            0            0        7.469 
         546   -7.5529564     0.201663            0            0        7.469 
         548   -7.5520274     0.194194            0            0        7.469 
         550   -7.5510858     0.186725            0            0        7.469 
         552   -7.5501376     0.179256            0            0        7.469 
         554    -7.559372     0.171787            0            0        7.469 
         556   -7.5586147     0.164318            0            0        7.469 
         558   -7.5578435     0.156849            0            0        7.469 
         560   -7.5570615      0.14938            0            0        7.469 
         562   -7.5562666     0.141911            0            0        7.469 
         564   -7.5554593     0.134442            0            0        7.469 
         566   -7.5546445     0.126973            0            0        7.469 
         568   -7.5538259     0.119504            0            0        7.469 
         570   -7.5529923     0.112035            0            0        7.469 
         572   -7.5521636     0.104566            0            0        7.469 
         574   -7.5513185     0.097097            0            0        7.469 
         576   -7.5504833     0.089628            0            0        7.469 
         578   -7.5513448     0.082159            0            0        7.469 
         580   -7.5505933      0.07469            0            0        7.469 
         582   -7.5498366     0.067221            0            0        7.469 
         584    -7.549065     0.059752            0            0        7.469 
         586   -7.5483142     0.052283            0            0        7.469 
         588   -7.5475367     0.044814            0            0        7.469 
         590   -7.5467554     0.037345            0            0        7.469 
         592   -7.5459576     0.029876            0            0        7.469 
         594   -7.5451562     0.022407            0            0        7.469 
         596   -7.5443413     0.014938            0            0        7.469 
         598    -7.543522     0.007469            0            0        7.469 
         600   -7.5426961 -8.8817842e-16            0            0        7.469 
         600   -7.5426962 -8.8817842e-16            0            0        7.469 
         602   -7.5418642    -0.007469            0            0        7.469 
         604   -7.5454814    -0.014938            0            0        7.469 
         606   -7.5448374    -0.022407            0            0        7.469 
         608   -7.5441708    -0.029876            0            0        7.469 
         610   -7.5481112    -0.037345            0            0        7.469 
         612   -7.5474388    -0.044814            0            0        7.469 
         614   -7.5467522    -0.052283            0            0        7.469 
         616   -7.5460505    -0.059752            0            0        7.469 
         618   -7.5453384    -0.067221            0            0        7.469 
         620   -7.5446164     -0.07469            0            0        7.469 
         622   -7.5438811    -0.082159            0            0        7.469 
         624    -7.543132    -0.089628            0            0        7.469 
         626   -7.5423828    -0.097097            0            0        7.469 
         628   -7.5416355    -0.104566            0            0        7.469 
         630   -7.5408608    -0.112035            0            0        7.469 
         632   -7.5400738    -0.119504            0            0        7.469 
         634    -7.539303    -0.126973            0            0        7.469 
         636   -7.5385077    -0.134442            0            0        7.469 
         638   -7.5377057    -0.141911            0            0        7.469 
         640   -7.5369008     -0.14938            0            0        7.469 
         642   -7.5464746    -0.156849            0            0        7.469 
         644   -7.5458322    -0.164318            0            0        7.469 
         646   -7.5451861    -0.171787            0            0        7.469 
         648   -7.5445323    -0.179256            0            0        7.469 
         650   -7.5438621    -0.186725            0            0        7.469 
         652   -7.5431789    -0.194194            0            0        7.469 
         654   -7.5424853    -0.201663            0            0        7.469 
         656   -7.5417858    -0.209132            0            0        7.469 
         658   -7.5410803    -0.216601            0            0        7.469 
         660   -7.5403659     -0.22407            0            0        7.469 
         662    -7.539636    -0.231539            0            0        7.469 
         664   -7.5389003    -0.239008            0            0        7.469 
         666   -7.5381562    -0.246477            0            0        7.469 
         668   -7.5534488    -0.253946            0            0        7.469 
         670   -7.5534448    -0.261415            0            0        7.469 
         672   -7.5529718    -0.268884            0            0        7.469 
         674   -7.5524886    -0.276353            0            0        7.469 
         676   -7.5519956    -0.283822            0            0        7.469 
         678   -7.5514929    -0.291291            0            0        7.469 
         680   -7.5509792     -0.29876            0            0        7.469 
         682   -7.5504523    -0.306229            0            0        7.469 
         684   -7.5499144    -0.313698            0            0        7.469 
         686   -7.5493671    -0.321167            0            0        7.469 
         688   -7.5488043    -0.328636            0            0        7.469 
         690   -7.5482314    -0.336105            0            0        7.469 
         692   -7.5476468    -0.343574            0            0        7.469 
         694   -7.5470509    -0.351043            0            0        7.469 
         696   -7.5464402    -0.358512            0            0        7.469 
         698   -7.5458234    -0.365981            0            0        7.469 
         700   -7.5451941     -0.37345            0            0        7.469 
         702   -7.5454441    -0.380919            0            0        7.469 
         704    -7.544873    -0.388388            0            0        7.469 
         706    -7.544285    -0.395857            0            0        7.469 
         708   -7.5436862    -0.403326            0            0        7.469 
         710   -7.5430848    -0.410795            0            0        7.469 
         712    -7.542468    -0.418264            0            0        7.469 
         714   -7.5510395    -0.425733            0            0        7.469 
         716   -7.5506181    -0.433202            0            0        7.469 
         718   -7.5501852    -0.440671            0            0        7.469 
         720   -7.5497384     -0.44814            0            0        7.469 
         722   -7.5492802    -0.455609            0            0        7.469 
         724   -7.5488138    -0.463078            0            0        7.469 
         726   -7.5483371    -0.470547            0            0        7.469 
         728   -7.5478452    -0.478016            0            0        7.469 
         730   -7.5473472    -0.485485            0            0        7.469 
         732   -7.5468401    -0.492954            0            0        7.469 
         734   -7.5463187    -0.500423            0            0        7.469 
         736   -7.5461264    -0.507892            0            0        7.469 
         738   -7.5456219    -0.515361            0            0        7.469 
         740   -7.5451303     -0.52283            0            0        7.469 
         742   -7.5490616    -0.530299            0            0        7.469 
         744   -7.5486184    -0.537768            0            0        7.469 
         746   -7.5481632    -0.545237            0            0        7.469 
         748   -7.5476959    -0.552706            0            0        7.469 
         750     -7.54722    -0.560175            0            0        7.469 
         752   -7.5467338    -0.567644            0            0        7.469 
         754   -7.5462415    -0.575113            0            0        7.469 
         756   -7.5457781    -0.582582            0            0        7.469 
         758   -7.5455455    -0.590051            0            0        7.469 
         760    -7.545072     -0.59752            0            0        7.469 
         762   -7.5445846    -0.604989            0            0        7.469 
         764   -7.5440853    -0.612458            0            0        7.469 
         766   -7.5435766    -0.619927            0            0        7.469 
         768   -7.5430559    -0.627396            0            0        7.469 
         770   -7.5425258    -0.634865            0            0        7.469 
         772   -7.5419868    -0.642334            0            0        7.469 
         774   -7.5414355    -0.649803            0            0        7.469 
         776   -7.5408742    -0.657272            0            0        7.469 
         778   -7.5403019    -0.664741            0            0        7.469 
         780   -7.5397198     -0.67221            0            0        7.469 
         782   -7.5391273    -0.679679            0            0        7.469 
         784   -7.5385227    -0.687148            0            0        7.469 
         786     -7.53791    -0.694617            0            0        7.469 
         788   -7.5372843    -0.702086            0            0        7.469 
         790   -7.5366482    -0.709555            0            0        7.469 
         792   -7.5360017    -0.717024            0            0        7.469 
         794   -7.5353456    -0.724493            0            0        7.469 
         796   -7.5346762    -0.731962            0            0        7.469 
         798   -7.5339988    -0.739431            0            0        7.469 
         800   -7.5333079      -0.7469            0            0        7.469 
         802   -7.5326087    -0.754369            0            0        7.469 
         804   -7.5318973    -0.761838            0            0        7.469 
         806   -7.5311834    -0.769307            0            0        7.469 
         808   -7.5304606    -0.776776            0            0        7.469 
         810   -7.5297292    -0.784245            0            0        7.469 
         812   -7.5289985    -0.791714            0            0        7.469 
         814   -7.5282663    -0.799183            0            0        7.469 
         816   -7.5275162    -0.806652            0            0        7.469 
         818   -7.5267589    -0.814121            0            0        7.469 
         820   -7.5259926     -0.82159            0            0        7.469 
         822   -7.5707525    -0.829059            0            0        7.469 
         824   -7.5704366    -0.836528            0            0        7.469 
         826   -7.5700987    -0.843997            0            0        7.469 
         828   -7.5697495    -0.851466            0            0        7.469 
         830   -7.5693891    -0.858935            0            0        7.469 
         832   -7.5690166    -0.866404            0            0        7.469 
         834   -7.5686327    -0.873873            0            0        7.469 
         836    -7.568242    -0.881342            0            0        7.469 
         838   -7.5679506    -0.888811            0            0        7.469 
         840   -7.5675383     -0.89628            0            0        7.469 
         842   -7.5673995    -0.903749            0            0        7.469 
         844   -7.5669906    -0.911218            0            0        7.469 
         846   -7.5668588    -0.918687            0            0        7.469 
         848   -7.5664236    -0.926156            0            0        7.469 
         850   -7.5659745    -0.933625            0            0        7.469 
         852   -7.5655166    -0.941094            0            0        7.469 
         854   -7.5650449    -0.948563            0            0        7.469 
         856   -7.5645618    -0.956032            0            0        7.469 
         858   -7.5640678    -0.963501            0            0        7.469 
         860   -7.5635624     -0.97097            0            0        7.469 
         862   -7.5630435    -0.978439            0            0        7.469 
         864   -7.5625135    -0.985908            0            0        7.469 
